SEXO,RAÇA,ESTADO_CIVIL,ESCOLARIDADE,IDADE,OCUPAÇÂO,RENDIMENTO,OCUPAÇÂO_1,OCUPAÇÂO_2,OCUPAÇÂO_3
2,1,1,11,42,2341,D,2,23,234
1,4,1,7,50,7214,D,7,72,721
1,1,5,2,25,6111,E,6,61,611
2,1,2,7,37,6111,E,6,61,611
1,1,1,6,33,6121,E,6,61,612
1,4,1,7,32,8322,C,8,83,832
1,2,1,5,40,9211,E,9,92,921
2,2,1,3,46,9111,E,9,91,911
1,4,5,6,42,6111,E,6,61,611
2,4,5,11,46,1345,D,1,13,134
2,1,5,5,34,9211,E,9,92,921
1,1,5,5,47,9211,E,9,92,921
2,4,5,2,49,9111,E,9,91,911
2,4,5,11,28,5223,E,5,52,522
1,4,5,7,21,9211,E,9,92,921
2,4,5,10,31,6122,E,6,61,612
1,2,5,10,23,4110,E,4,41,411
2,2,5,10,27,6114,E,6,61,611
1,1,1,5,56,6111,E,6,61,611
2,2,5,5,43,9111,E,9,91,911
1,4,1,6,34,6111,E,6,61,611
2,4,1,6,29,6111,E,6,61,611
1,4,5,10,22,6111,E,6,61,611
1,4,1,6,27,9211,E,9,92,921
2,4,1,10,34,7512,E,7,75,751
1,4,1,7,33,8322,D,8,83,832
1,4,5,2,55,9214,E,9,92,921
1,4,1,3,55,9112,E,9,91,911
2,4,1,3,51,9112,E,9,91,911
1,4,5,2,32,9211,E,9,92,921
2,4,5,5,32,9211,E,9,92,921
1,5,1,2,45,9213,E,9,92,921
1,4,5,11,29,3123,C,3,31,312
1,4,1,10,25,8211,E,8,82,821
2,4,1,5,54,9211,E,9,92,921
1,4,1,7,23,9214,E,9,92,921
2,4,1,5,42,6111,E,6,61,611
1,4,1,5,51,6111,E,6,61,611
1,1,1,7,25,9211,E,9,92,921
1,4,5,2,42,6111,E,6,61,611
2,4,1,2,42,6111,E,6,61,611
2,4,5,6,32,9214,E,9,92,921
1,4,5,1,41,9214,E,9,92,921
1,4,1,5,43,8154,D,8,81,815
2,4,1,5,44,9211,E,9,92,921
1,4,1,10,26,7112,E,7,71,711
1,4,5,2,31,7511,E,7,75,751
2,4,5,6,27,9211,E,9,92,921
1,1,5,5,33,6111,E,6,61,611
1,4,1,5,46,9211,E,9,92,921
2,1,1,10,45,2341,E,2,23,234
1,4,5,7,35,9213,E,9,92,921
1,4,1,1,30,9611,E,9,96,961
2,4,1,10,24,7512,E,7,75,751
2,4,5,11,23,3341,D,3,33,334
1,4,5,7,39,1431,D,1,14,143
1,1,1,3,46,6114,E,6,61,611
2,2,1,5,39,6114,E,6,61,611
1,4,5,10,30,6111,E,6,61,611
1,4,5,5,44,6111,E,6,61,611
2,4,5,7,42,6111,E,6,61,611
1,4,5,5,39,6111,E,6,61,611
2,4,5,7,46,6111,E,6,61,611
2,4,5,5,28,6111,E,6,61,611
1,4,5,5,38,6111,E,6,61,611
1,3,1,6,38,9211,E,9,92,921
1,4,1,7,33,9213,E,9,92,921
2,4,1,10,29,9111,E,9,91,911
1,4,1,5,52,6111,E,6,61,611
2,4,1,5,51,6111,E,6,61,611
2,4,4,5,55,6111,E,6,61,611
1,1,1,7,29,9211,E,9,92,921
2,4,5,2,55,9214,E,9,92,921
1,4,5,2,55,9214,E,9,92,921
1,4,1,10,45,7231,E,7,72,723
1,1,1,5,42,5223,E,5,52,522
2,4,1,10,36,5221,E,5,52,522
2,4,1,11,42,2341,D,2,23,234
1,4,1,5,39,9211,D,9,92,921
1,1,1,5,36,6111,E,6,61,611
2,4,1,10,22,6111,E,6,61,611
1,4,1,5,59,6111,E,6,61,611
1,1,5,12,27,2341,C,2,23,234
1,4,1,10,34,3352,E,3,33,335
1,2,5,2,36,9313,D,9,93,931
1,4,1,2,35,6114,E,6,61,611
2,4,1,5,34,6114,E,6,61,611
1,4,5,2,38,6114,E,6,61,611
2,4,5,5,28,6114,E,6,61,611
2,4,5,6,29,6111,E,6,61,611
1,4,5,6,28,6111,E,6,61,611
1,4,5,6,29,6111,D,6,61,611
1,4,1,5,56,6111,E,6,61,611
2,4,1,6,49,6111,E,6,61,611
1,4,5,6,31,6111,E,6,61,611
1,4,1,10,31,5223,E,5,52,522
1,4,1,5,43,8141,E,8,81,814
1,4,5,5,36,7512,E,7,75,751
1,1,1,5,48,7214,D,7,72,721
2,2,1,3,52,6114,E,6,61,611
1,4,1,5,25,7112,D,7,71,711
2,4,5,10,26,6111,E,6,61,611
1,1,5,5,41,8342,D,8,83,834
2,4,5,10,37,4110,E,4,41,411
1,4,1,5,33,9211,E,9,92,921
2,4,1,6,29,9211,E,9,92,921
2,4,5,5,32,9211,E,9,92,921
1,1,5,5,31,9211,E,9,92,921
1,4,1,10,30,2359,E,2,23,235
2,4,1,10,24,7112,E,7,71,711
1,1,5,5,22,9211,E,9,92,921
2,1,1,5,49,9211,E,9,92,921
1,4,1,6,42,6111,E,6,61,611
2,1,5,2,42,9111,E,9,91,911
2,5,5,6,21,9211,E,9,92,921
2,4,4,5,57,9211,E,9,92,921
1,1,5,5,22,9211,E,9,92,921
1,1,5,5,45,9211,E,9,92,921
1,1,5,10,43,9211,E,9,92,921
2,4,1,5,27,6114,E,6,61,611
1,4,1,10,29,6111,E,6,61,611
1,4,1,5,44,6111,E,6,61,611
2,1,1,10,36,6111,E,6,61,611
1,1,5,7,22,9211,E,9,92,921
2,1,1,11,45,1112,D,1,11,111
1,1,1,5,44,8322,E,8,83,832
1,4,1,5,37,7215,D,7,72,721
2,1,1,5,37,6111,E,6,61,611
1,4,1,10,30,8322,D,8,83,832
1,4,1,5,33,9214,E,9,92,921
2,4,1,5,30,9214,E,9,92,921
1,4,5,6,43,9211,E,9,92,921
1,4,1,7,26,9211,E,9,92,921
2,4,1,5,26,9211,E,9,92,921
2,1,1,11,41,2341,C,2,23,234
1,1,1,10,42,8322,E,8,83,832
1,1,1,5,40,6114,E,6,61,611
1,4,5,8,26,9313,E,9,93,931
2,4,1,5,47,9112,E,9,91,911
1,4,1,3,51,9213,E,9,92,921
1,2,1,2,57,9214,E,9,92,921
1,2,5,5,34,9214,E,9,92,921
1,2,5,5,22,9214,E,9,92,921
2,4,5,10,25,5223,E,5,52,522
2,4,5,10,21,5223,E,5,52,522
1,4,5,5,33,9313,E,9,93,931
1,4,1,2,52,9214,E,9,92,921
1,4,1,7,22,9214,E,9,92,921
1,1,5,6,23,7112,E,7,71,711
2,4,1,7,41,9211,E,9,92,921
1,1,1,5,30,9211,E,9,92,921
1,2,1,10,39,3322,C,3,33,332
2,4,5,11,41,2341,D,2,23,234
1,1,5,5,37,9211,E,9,92,921
1,4,1,6,24,9211,E,9,92,921
1,4,5,7,35,8322,E,8,83,832
2,4,5,7,32,5141,D,5,51,514
1,2,1,2,49,9214,E,9,92,921
1,4,5,10,23,9313,D,9,93,931
1,4,5,6,22,9211,D,9,92,921
2,4,1,2,51,9214,E,9,92,921
1,2,1,5,25,9211,E,9,92,921
2,3,1,6,23,9211,E,9,92,921
1,4,1,3,56,6111,E,6,61,611
2,4,1,3,56,6111,E,6,61,611
1,4,5,7,21,6111,E,6,61,611
1,1,5,5,23,6111,E,6,61,611
1,1,5,5,28,9211,E,9,92,921
2,1,5,10,36,9112,E,9,91,911
2,4,1,6,30,6111,E,6,61,611
1,4,1,7,27,6111,E,6,61,611
2,1,1,5,33,9211,E,9,92,921
1,1,1,5,30,9211,E,9,92,921
1,4,1,2,35,9211,E,9,92,921
2,4,1,5,26,9211,E,9,92,921
